,id_turma,codigo_turma,id_docente_interno,id_componente_curricular,local,ano,periodo,descricao_horario,total_solicitacoes,capacidade_aluno,situacao_turma,nome_disc,formacao_prof,id_prof,lotacao_prof,nome_prof,tipo_jornada_trabalho_prof,vinculo_prof
955,1217917,01,5756224.0,55031.0,B203 no CIVT,2014,1.0,236M1234 (27/01/2014 - 14/06/2014),2.0,70.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
956,1217917,01,5756386.0,55031.0,B203 no CIVT,2014,1.0,236M1234 (27/01/2014 - 14/06/2014),2.0,70.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,DOUTORADO,5756386.0,INSTITUTO METROPOLE DIGITAL,CHARLES ANDRYE GALVAO MADEIRA,Dedicação exclusiva           ,Ativo Permanente
957,1217918,02,5756188.0,55031.0,B204 no CIVT,2014,1.0,236M1234 (27/01/2014 - 14/06/2014),2.0,70.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
958,1217918,02,5756386.0,55031.0,B204 no CIVT,2014,1.0,236M1234 (27/01/2014 - 14/06/2014),2.0,70.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,DOUTORADO,5756386.0,INSTITUTO METROPOLE DIGITAL,CHARLES ANDRYE GALVAO MADEIRA,Dedicação exclusiva           ,Ativo Permanente
959,1217919,03,5756208.0,55031.0,B203 no CIVT,2014,1.0,236N1234 (27/01/2014 - 14/06/2014),4.0,72.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
960,1217919,03,5756386.0,55031.0,B203 no CIVT,2014,1.0,236N1234 (27/01/2014 - 14/06/2014),4.0,72.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,DOUTORADO,5756386.0,INSTITUTO METROPOLE DIGITAL,CHARLES ANDRYE GALVAO MADEIRA,Dedicação exclusiva           ,Ativo Permanente
961,1217920,04,5756213.0,55031.0,B204 no CIVT,2014,1.0,236N1234 (27/01/2014 - 14/06/2014),5.0,74.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
962,1217920,04,5755819.0,55031.0,B204 no CIVT,2014,1.0,236N1234 (27/01/2014 - 14/06/2014),5.0,74.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,DOUTORADO,5755819.0,INSTITUTO METROPOLE DIGITAL,ANDERSON PAIVA CRUZ,Dedicação exclusiva           ,Ativo Permanente
997,1217943,01,5755872.0,52662.0,A306 no CIVT,2014,1.0,246M56 (27/01/2014 - 14/06/2014),8.0,60.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,DOUTORADO,5755872.0,INSTITUTO METROPOLE DIGITAL,SAMYR SILVA BEZERRA JACOME,Dedicação exclusiva           ,Ativo Permanente
998,1217944,02,5755872.0,52662.0,A308 no CIVT,2014,1.0,246N12 (27/01/2014 - 14/06/2014),10.0,60.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,DOUTORADO,5755872.0,INSTITUTO METROPOLE DIGITAL,SAMYR SILVA BEZERRA JACOME,Dedicação exclusiva           ,Ativo Permanente
