"professor";"aula";"aluno";"media"
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"4df2510b42a8fd0da6b0b4bc1b803c91 ";"5.5 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"30912632e71d2a0e849a6a816015a49a ";"8.5 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"cb16d2a74d252b10a154720dc48fb2d7 ";"6.0 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"8caf7eaf896ad3897db753fc0b3177a3 ";"6.9 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"c0e6025213e914d12e9fc53cfa1a9fd6 ";"5.5 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"8239ac2af0ba81332ab2e96ab7ac0146 ";"5.0 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"f7551a49f55aa01e91a07a8dc82653b9 ";"2.3 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"23692a96159d2b061a65b68763c1a9be ";"7.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"99e5e29d16566a2bed71732ecba19849 ";"1.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"900f660f1e02ac9793c4d3d9db12f386 ";"9.5 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"140e5ddda576d3cac396f1e65be49a40 ";"3.8 "
