,Unnamed: 0,id_turma,discente,unidade,nota,reposicao,media_final,numero_total_faltas,descricao
3,141015,1217917,e8276e72614c5828286b43d50704d1a0,1.0,6.2,f,5.8,12.0,APROVADO POR NOTA
4,141016,1217917,e8276e72614c5828286b43d50704d1a0,2.0,5.5,f,5.8,12.0,APROVADO POR NOTA
5,141017,1217917,e8276e72614c5828286b43d50704d1a0,3.0,5.7,f,5.8,12.0,APROVADO POR NOTA
6,141018,1217917,30327d430572d0c720dcd1682a39c361,1.0,1.0,t,7.1,47.0,APROVADO
7,141019,1217917,30327d430572d0c720dcd1682a39c361,2.0,9.3,f,7.1,47.0,APROVADO
8,141020,1217917,30327d430572d0c720dcd1682a39c361,3.0,7.0,f,7.1,47.0,APROVADO
9,141021,1217917,b9cc628293a174538ea7495da29d59df,3.0,7.1,f,8.1,16.0,APROVADO
10,141022,1217917,b9cc628293a174538ea7495da29d59df,1.0,8.6,f,8.1,16.0,APROVADO
11,141023,1217917,b9cc628293a174538ea7495da29d59df,2.0,8.7,f,8.1,16.0,APROVADO
16,141028,1217917,48bda966ddad288bba1f680237cdef70,1.0,1.4,t,8.9,25.0,APROVADO
17,141029,1217917,48bda966ddad288bba1f680237cdef70,2.0,10.0,f,8.9,25.0,APROVADO
18,141030,1217917,48bda966ddad288bba1f680237cdef70,3.0,7.7,f,8.9,25.0,APROVADO
19,141031,1217917,480a730ca3e8657e4d203f06d6baaae1,1.0,10.0,f,10.0,0.0,APROVADO
20,141032,1217917,480a730ca3e8657e4d203f06d6baaae1,2.0,10.0,f,10.0,0.0,APROVADO
21,141033,1217917,480a730ca3e8657e4d203f06d6baaae1,3.0,9.9,f,10.0,0.0,APROVADO
22,141034,1217917,c64950466f754a7a5656d1968f33c8fc,1.0,8.9,f,8.9,8.0,APROVADO
23,141035,1217917,c64950466f754a7a5656d1968f33c8fc,2.0,10.0,f,8.9,8.0,APROVADO
24,141036,1217917,c64950466f754a7a5656d1968f33c8fc,3.0,7.9,f,8.9,8.0,APROVADO
47,141059,1217917,27a86baa1e6bf11c2b06e41852647da7,3.0,9.0,f,8.8,38.0,APROVADO
48,141060,1217917,27a86baa1e6bf11c2b06e41852647da7,1.0,1.4,t,8.8,38.0,APROVADO
49,141061,1217917,27a86baa1e6bf11c2b06e41852647da7,2.0,10.0,f,8.8,38.0,APROVADO
51,141063,1217917,beed682bd05cbf0d48966972e0478621,1.0,9.1,f,8.3,8.0,APROVADO
52,141064,1217917,beed682bd05cbf0d48966972e0478621,2.0,8.4,f,8.3,8.0,APROVADO
53,141065,1217917,beed682bd05cbf0d48966972e0478621,3.0,7.5,f,8.3,8.0,APROVADO
55,141067,1217917,08f0ed62082e3a3455c675630a546cfe,1.0,6.9,f,6.6,50.0,APROVADO
56,141068,1217917,08f0ed62082e3a3455c675630a546cfe,2.0,1.7,t,6.6,50.0,APROVADO
57,141069,1217917,08f0ed62082e3a3455c675630a546cfe,3.0,4.8,f,6.6,50.0,APROVADO
58,141070,1217917,5bf0f8963be465bd3f9d1aa78ca9ce1e,1.0,8.1,f,8.6,10.0,APROVADO
59,141071,1217917,5bf0f8963be465bd3f9d1aa78ca9ce1e,2.0,9.4,f,8.6,10.0,APROVADO
60,141072,1217917,5bf0f8963be465bd3f9d1aa78ca9ce1e,3.0,8.2,f,8.6,10.0,APROVADO
64,141076,1217917,d0bd6488461f69112553e12fd0b6e5e1,1.0,3.1,f,1.2,134.0,REPROVADO POR MÉDIA E POR FALTAS
65,141077,1217917,d0bd6488461f69112553e12fd0b6e5e1,2.0,0.5,f,1.2,134.0,REPROVADO POR MÉDIA E POR FALTAS
66,141078,1217917,d0bd6488461f69112553e12fd0b6e5e1,3.0,0.0,f,1.2,134.0,REPROVADO POR MÉDIA E POR FALTAS
67,141079,1217917,ee67c654a285629b1e24292c717dc9e5,1.0,3.9,f,5.3,32.0,APROVADO POR NOTA
68,141080,1217917,ee67c654a285629b1e24292c717dc9e5,2.0,6.0,f,5.3,32.0,APROVADO POR NOTA
69,141081,1217917,ee67c654a285629b1e24292c717dc9e5,3.0,6.0,f,5.3,32.0,APROVADO POR NOTA
70,141082,1217917,f111a05877915e0c15509d555f34195c,2.0,4.6,f,5.7,25.0,APROVADO POR NOTA
71,141083,1217917,f111a05877915e0c15509d555f34195c,3.0,3.7,f,5.7,25.0,APROVADO POR NOTA
